縣市,鄉鎮市區,縣市代碼,家戶數,1-2月用電總量,1-2月平均家戶用電,3-4月用電總量,3-4月平均家戶用電,5-6月用電總量,5-6月平均家戶用電,7-8月用電總量,7-8月平均家戶用電
彰化縣,線西鄉,CHA-040,4196,3208473,764,3440681,819,3343265,796,4124698,983
彰化縣,伸港鄉,CHA-050,9281,7509971,809,7675938,827,7761708,836,9966869,1073
彰化縣,福興鄉,CHA-060,12306,9153257,743,9666097,785,9986773,811,12968709,1053
彰化縣,秀水鄉,CHA-070,10142,8400192,828,8591166,847,8875110,875,11618538,1145
彰化縣,花壇鄉,CHA-080,13335,10234374,767,9619254,721,10836303,812,14455979,1084
彰化縣,芬園鄉,CHA-090,6871,4234635,616,4150126,604,4382396,637,5460311,794
彰化縣,員林鎮,CHA-100,37725,26599306,705,27595389,731,29265884,775,39983639,1059
彰化縣,溪湖鎮,CHA-110,15622,11728116,750,12187341,780,12736643,815,16913987,1082
彰化縣,田中鎮,CHA-120,12772,7542308,590,7991841,625,8447658,661,11048663,865
彰化縣,大村鄉,CHA-130,10518,8734203,830,8974238,853,10218910,971,13287656,1263
彰化縣,埔鹽鄉,CHA-140,8946,5552374,620,5952972,665,5859683,655,7260918,811
彰化縣,埔心鄉,CHA-150,10185,7036155,690,7383130,724,7802213,766,10376834,1018
彰化縣,永靖鄉,CHA-160,10647,7373492,692,7768712,729,8094770,760,10690928,1004
彰化縣,社頭鄉,CHA-170,12557,8085514,643,8045618,640,8719793,694,11388821,906
彰化縣,二水鄉,CHA-180,5354,2574526,480,2676894,499,2850200,532,3546499,662
彰化縣,北斗鎮,CHA-190,10198,7872044,771,8355446,819,9098263,892,11707279,1147
彰化縣,二林鎮,CHA-200,14620,9811732,671,10619906,726,10735597,734,13876038,949
彰化縣,田尾鄉,CHA-210,7765,5235331,674,5590930,720,5468527,704,6830672,879
彰化縣,埤頭鄉,CHA-220,8805,5569596,632,5026510,570,5898926,669,7591243,862
彰化縣,芳苑鄉,CHA-230,10049,5696360,566,6331298,630,6510791,647,8440953,839
彰化縣,大城鄉,CHA-240,5392,2524941,468,2467117,457,2708855,502,3478292,645
彰化縣,竹塘鄉,CHA-250,4628,2661069,574,2906334,627,3087614,667,4136635,893
彰化縣,溪州鄉,CHA-260,8820,5992608,679,6271543,711,6552486,742,8241740,934
南投縣,南投市,NAN-010,33957,20192159,594,21134434,622,23018553,677,29163357,858
南投縣,埔里鎮,NAN-020,28787,19164665,665,19855939,689,20394855,708,21974754,763
南投縣,草屯鎮,NAN-030,31878,20078620,629,20299212,636,21999900,690,28231907,885
南投縣,竹山鎮,NAN-040,19811,12323449,622,12912534,651,13541516,683,15801943,797
南投縣,集集鎮,NAN-050,4361,2367104,542,2467047,565,2590682,594,2905077,666
南投縣,名間鄉,NAN-060,12440,7794067,626,7690840,618,8317753,668,9468165,761
南投縣,鹿谷鄉,NAN-070,7219,3538566,490,3722630,515,3753794,519,3856432,534
南投縣,中寮鄉,NAN-080,5665,2187003,386,2254420,397,2281809,402,2600266,459
南投縣,魚池鄉,NAN-090,5776,3677418,636,3583779,620,3576737,619,3833453,663
南投縣,國姓鄉,NAN-100,7276,3077990,423,3117542,428,3203986,440,3537502,486
南投縣,水里鄉,NAN-110,7284,3492865,479,3721549,510,3846018,528,4204973,577
南投縣,信義鄉,NAN-120,5275,2264343,429,2283633,432,2351396,445,2400587,455
南投縣,仁愛鄉,NAN-130,4959,2188021,441,2153297,434,2357592,475,2283557,460
雲林縣,斗六市,YUN-010,36229,27182653,750,27682019,764,30065486,829,39325555,1085
雲林縣,斗南鎮,YUN-020,15535,9941318,639,10698052,688,11035637,710,14786112,951
